2019年2月5日,多云,多云,11℃,0℃,<3级,工作日,是,0
2019年2月6日,多云,转小雨,14℃,3℃,<3级,工作日,是,0
2019年2月7日,小雨,转雨夹雪,7℃,0℃,>3级,工作日,是,0
2019年2月8日,中雪,中雪,7℃,0℃,>3级,工作日,是,13
2019年2月9日,小雪,小雪,2℃,0℃,<3级,非工作日,是,66
2019年2月10日,中雪,转小雪,1℃,-2℃,>3级,非工作日,是,98
2019年2月11日,多云,多云,1℃,0℃,<3级,工作日,否,78
2019年2月12日,中雨,转小雨,7℃,1℃,<3级,工作日,否,89
2019年2月13日,中雨,转小雨,6℃,2℃,<3级,工作日,否,81
2019年2月14日,小雨,小雨,6℃,2℃,<3级,工作日,否,102
2019年2月15日,多云,多云,6℃,0℃,<3级,工作日,否,155
2019年2月16日,多云,多云,6℃,1℃,<3级,非工作日,否,134
2019年2月17日,多云,转小雨,8℃,-1℃,<3级,非工作日,否,155
2019年2月18日,中雨,中雨,8℃,3℃,<3级,工作日,否,152
2019年2月19日,多云,多云,8℃,1℃,<3级,工作日,否,181
2019年2月20日,小雨,小雨,9℃,3℃,<3级,工作日,否,147
2019年2月21日,小雨,转中雨,8℃,1℃,<3级,工作日,否,224
2019年2月22日,多云,多云,7℃,1℃,<3级,工作日,否,231
2019年2月23日,多云,多云,11℃,2℃,<3级,非工作日,否,203
2019年2月24日,多云,多云,12℃,1℃,<3级,非工作日,否,186
2019年2月25日,多云,多云,10℃,1℃,<3级,工作日,否,225
2019年2月26日,小雨,小雨,10℃,5℃,<3级,工作日,否,238
2019年2月27日,小雨,转多云,7℃,4℃,<3级,工作日,否,228
2019年2月28日,多云,转小雨,10℃,4℃,<3级,工作日,否,236
2019年3月1日,中雨,中雨,12℃,7℃,<3级,工作日,否,212
2019年3月2日,小雨,转阴,10℃,6℃,<3级,非工作日,否,178
2019年3月3日,多云,多云,9℃,2℃,<3级,非工作日,否,170
2019年3月4日,多云,多云,11℃,2℃,<3级,工作日,否,178
2019年3月5日,多云,多云,11℃,4℃,<3级,工作日,否,216
2019年3月6日,多云,多云,16℃,3℃,<3级,工作日,否,189
2019年3月7日,多云,多云,11℃,4℃,<3级,工作日,否,186
2019年3月8日,多云,多云,11℃,5℃,<3级,工作日,否,177
2019年3月9日,多云,多云,14℃,7℃,>3级,非工作日,否,181
2019年3月10日,多云,多云,17℃,4℃,<3级,非工作日,否,188
2019年3月11日,多云,多云,17℃,4℃,<3级,工作日,否,191
2019年3月12日,多云,多云,15℃,6℃,<3级,工作日,否,169
2019年3月13日,多云,多云,17℃,4℃,<3级,工作日,否,160
2019年3月14日,多云,转晴,19℃,6℃,<3级,工作日,否,175
2019年3月15日,多云,多云,14℃,5℃,>3级,工作日,否,166
2019年3月16日,多云,多云,16℃,7℃,<3级,非工作日,否,208
2019年3月17日,多云,转小雨,21℃,9℃,<3级,非工作日,否,199
2019年3月18日,多云,多云,16℃,5℃,>3级,工作日,否,167
2019年3月19日,多云,转小雨,20℃,11℃,<3级,工作日,否,220
2019年3月20日,中雨,转多云,25℃,9℃,>3级,工作日,否,198
2019年3月21日,多云,多云,18℃,5℃,>3级,工作日,否,203
2019年3月22日,多云,多云,14℃,4℃,>3级,工作日,否,192
